business_id,actual_review_count
XQfwVwDr-v0ZS3_CbbE5Xw,175
7ATYjTIgM3jUlt4UM3IypQ,151
YjUWPpI6HXG530lwP-fb2A,48
kxX2SOes4o-D3ZQBkiMRfA,190
e4Vwtrqf-wpJfwesgvdgxQ,35
04UD14gamNjLY0IDYVhHJg,284
gmjsEdUsKpj9Xxu6pdjH0g,366
LHSTtnW3YHCeUkRDGyJOyw,113
B5XSoSG3SfvQGtKEGQ1tSQ,13
gebiRewfieSdtt17PTW6Zg,502
uMvVYRgGNXf5boolA9HXTw,8
EQ-TZ2eeD_E0BHuvoaeG5Q,1421
lj-E32x9_FA7GmUrBGBEWg,404
RZtGWDLCAtuipwaZ-UfjmQ,380
otQS34_MymijPTdNBoBdCw,511
BVndHaLihEYbr76Z0CMEGw,167
YtSqYv1Q_pOltsVPSx54SA,305
rBdG_23USc7DletfZ11xGA,411
CLEWowfkj-wKYJlQDqT1aw,55
eFvzHawVJofxSnD7TgbZtg,253
nRKndeZLQ3eDL10UMwS2rQ,1424
ut6fi2W2YaipNOqvi7e0jw,256
rjuWz_AD3WfXJc03AhIO_w,91
vC2qm1y3Au5czBtbhc-DNw,170
cPepkJeRMtHapc_b2Oe_dw,34
c-IgS6Pk6vMyax7Rbr38eA,288
x4XdNhp0Xn8lOivzc77J-g,231
S2Ho8yLxhKAa26pBAm6rxA,1611
MWmXGQ98KbRo3vsS5nZhMA,32
ltBBYdNzkeKdCNPDAsxwAA,1247
bMratNjTG5ZFEA6hVyr-xQ,140
bbEXAEFr4RYHLlZ-HFssTA,336
0pMj5xUAecW9o1P35B0AMw,8
X8lfGPagfLzfOsx0k08NRQ,32
8QnuWGVNBhzyYXGSeRdi4g,18
IDtLPgUrqorrpqSLdfMhZQ,401
LfYUOclwLs_SPrNAdKMjsw,40
PY9GRfzr4nTZeINf346QOw,2715
kq5Ghhh14r-eCxlVmlyd8w,71
Zx7n8mdt8OzLRXVzolXNhQ,1761
hKameFsaXh9g8WQbv593UA,96
A2q7d-CBM2-81tVkmS4JMw,611
oBhJuukGRqPVvYBfTkhuZA,401
eaJCpC6IhYphj7bwCDHTwQ,253
W4ZEKkva9HpAdZG88juwyQ,2116
jTI5Xjk27An8ceJ6VwpXiQ,340
j8JOZvfeHEfUWq3gEz6ABQ,1178
jNL5KUPz2-tHUJM__ysSaw,10
I6L0Zxi5Ww0zEWSAVgngeQ,1074
EtKSTHV5Qx_Q7Aur9o4kQQ,1603
SSZDGl2J-CEyIzuIbEiYNQ,540
VJEzpfLs_Jnzgqh5A_FVTg,310
GILL0ZkvVXJaNQzYRXfMQw,122
TyOe_EcbyAWMmPgg_ILwHQ,75
0ICfbEImE0gUZc4kSZ7QHg,31
oJ4ik-4PZe6gexxW-tSmsw,395
qO9dNNIvNbCBd8ZgjxMxgQ,13
NQSnr4RPUScss607oxOaqw,119
6LCZLGa09Qifn6rG7-DNrg,188
7wQEzj-0yOpLiANNLuUflQ,52
SIoCIxjn4jLt2O-4DajWJw,457
SZU9c8V2GuREDN5KgyHFJw,2444
2GYg3liJ9-m6Z67L_4_BRQ,57
oQ5CPRt0R3AzFvcjNOqB1w,1138
pAgtmlIGqFYaWdBoCUeitw,109
O8BBn8lry8lLoIFmChceGg,22
HTqXI5S2XcSlh_ylx9sE6g,268
WCVFqK84i2H5EClSoow7ZA,33
PzhPMkaNYiKDTHoTG0r8rw,186
sLgnx_WFCjEoPsS6NwU70Q,270
YbnJYHNp_fHbI-hcFg48vQ,199
Zi-F-YvyVOK0k5QD7lrLOg,2008
EpREWeEpmR8f1qLHzzF0AA,644
Wy8Hswf2cLQGRZN6armkag,86
pR8u8hXf1vvzoAGOoKHQqQ,50
5Ce3lZksYVkCbrihqylVHQ,163
AgbRp5NLsP1-J1fdg6Hdcw,13
lpfrjbjIWC0BNZThaSDMLw,91
jLerIZFpe25jOUf722qzBA,126
aY_n9RSaD2Yw09jSFFePew,131
3ZynJ94VpIdDlaArmEp2Rg,246
9gObo5ltOMo6UgsaXaHPWA,802
9OtFX3YzG5keaUMOWU1imA,74
b7V_5q22_eTeHlYzq1bpFw,984
cg4JFJcCxRTTMmcg9O9KtA,561
iD25g7vUG3asELjXtMGF9w,60
rJzLJL33mFyrM_90kAQKuw,9
6JFTijOMHB46yBoyVOjPCA,253
8xM8akbQhHDQdJO1sPMB1A,7
18eWJFJbXyR9j_5xfcRLYA,470
X_E7U2lVNEwbH_gpOBmAHQ,183
f-WhNOSwN1aB4nRFekf01g,50
W7NxQw8UYFR0HLPrI08tvw,79
f4PA-f1tcN1bIpZJLdFsQQ,280
m5-FtgWRd4qA7j0vaOXiXQ,747
X63jIMRHYBvKKQDuJTRiQQ,28
HnhxO2cpa15AHI1456Pl6Q,7
GyC36Pn0Q1-qHnqXys6yFg,117
D5V0Fawd6ODVgqCY8xngsw,512
fGYnHzFr1z2kv7bPRW6VMA,494
EBn3U4mpnIRLIy2lKuilRQ,124
FHNIvNgh3fS7VZQq2Y3dsA,851
gGyqnAlpFrka_qzpO7j4lQ,529
D4DZztR7vkbiED6txGUYFg,72
jOOOrH5n2ijnsZKxzPSAiw,121
UEgiQRvpAeaq-QyEvm7Ysw,76
dyCfFIt1XIA8lIpuWaW2eQ,59
GBTPC53ZrG1ZBY3DT8Mbcw,4661
1QVB0_-piu0GXes87BXeGw,86
pUVRCYL8rT4I5Ry5FYkRsA,106
9GiEYlSeM4Csc8Isp5PzPw,31
IfcJZKQiBKf_9yq784qbww,28
Dv6RfXLYe1atjgz3Xf4GGw,1116
uaipZDBSvzDzUUlazpyGCg,91
OlcuZ9sWonCsSSGuHxb6yw,87
xR3inMR2KceU3b9dhkz_tw,48
nYRFGR2C-OOhRvO8rvI4qw,81
pSmOH4a3HNNpYM82J5ycLA,2091
zt2JwrXrou8PyDELJOOA_w,5
YNm4WrEHejsVIEfkZ0MZFQ,15
cB_9eHHfo9me96cZup-lZQ,322
actDmpJyaQPnkds6knMdKA,41
6p07zfmJWvytr0paqpyvbg,196
-ikBycdroyTLDBHR9aC3HA,118
29YqJwOGEuAWqlHZxMc1OA,292
M0c99tzIJPIbrY_RAO7KSQ,442
ZuM1vcZ_ObCjCCGweYzItg,42
hAmuto6UndVroyd_DaD-TA,451
WaRZsQEcEHwRk0T2dJ-cuA,211
C7ZNfxgDQWinNzRfTkevxg,65
ab3pRv-b0o-BwMK2jVbH3Q,490
eMiN8nm70jjKg8izikVWDA,603
GgGfhKUGusCbP-rvjHiS3A,62
hRHhP3fhMy3LktPyQa3s_A,305
eUO4QA6nL2XdCeWuD7tkww,60
-If0ps0QhOLCYVWQWs9RYg,180
c5QMFe_yhgksThaR2a6rtg,44
pym7c6ZFEtmoH16xN2ApBg,1333
AzseSGgDC6bVtMPEYo1CNQ,942
s3FRhtaNU8dt-mKkLKUQaQ,214
34Eqv8jXgxg_EEwcsNgeeg,670
a1u9Bxrq_fZxl2pgqQUcJA,331
RfkaKLn494TKC943fJhKOw,17
7L1kXfwU5XM6f6Jxo_L7Yg,119
7wpTBtY2kiMXmW42zvL-fw,62
xruWHK8Z5N0JWyQubLHjgA,91
G-zzByEfv2oqjcxYmPsjtA,278
tJCnUtGdyPyOGt5kudLrTA,23
vPlhhf6CcB5dzQv1sEwlvg,38
bjhCtlYHrkgA5Ku8l-rB3g,107
Cu8ysHKiZmJKRY9nF3Hzsw,88
hy5GpGXAna-5qrb3zNub6g,179
W8Z4rXYkmZlEVSaxIVjyvg,492
_agzW_0F9uSJ7i6EJ9ufeg,33
CmjvsiafnWH60fuYz2LCmA,80
9xm4aIAT_xwRoTxc0_8AWQ,45
qf4LecJDQWIt0gt6VJWFPw,98
yQhu3LbnB2gQgrquHZ_S6Q,45
_aKr7POnacW_VizRKBpCiA,1027
aZyCHVqXnz81fW1_KbFq0w,183
QUEWdnmVCv2Ri8xJATTrIQ,128
7WZ5EGb-Xk_uxQTWc52P4w,121
fWbQiSAErNcznezzkfCdvg,8
VO5Jphyqmoa62lbA7-vzpQ,175
CYwC5OjwCN6ib_AQDxi3Ow,230
iVegX9epKU8R0eRAEwQ6Yg,79
P10BsKUeoeCeVoK4BS2u0w,29
kPG6r0h73sPgXBei0MyzYg,90
oRZzKWdyMQld6N_y4UWkAg,330
J55AT36H5EeJ9ey8etGjHA,47
mQvRi0nm84Www71d4qOheQ,198
v5ktgWMAARaczTMh2rAJKg,156
o7cD_sDA-Evj3Oh0zeH9nQ,206
XTQ3iEaLMUbJg2DrcodslA,8
F3n0sB5Dqn-N2fAA5TgmFQ,144
HrIbP2-jdRJAU92yqyDmyw,25
-kY_HDP7IMvGl-kBIZVU4A,330
WM3q-7scdPUei6fu4SJFYw,152
WLiqfxv_GhFFA5sm878a2w,114
ELKgARoj5UNjQXUkX8T8KQ,81
XMGjDIAFbu9VSmWDs-Ev5w,115
wqj6JquckEOs1h7rs376kQ,63
mLNSOU8Ki0Fm09xd6ZKkcA,398
QvjY9esYNRMe_5kvT6TC5g,51
3YERGr7UbpSpddqL0Eiu5g,73
6dDC5PSmPEoJYuM8r8dN_A,424
wa_bwyY57etHjtJ2Fw0E3g,489
dBCNUSbz5-8nQNrxWo5deg,587
JvawJ9bSr22xn4R9oLvl_w,1098
roc-xyyzN5b_nImb0NdRLQ,81
NdqATFd0JsFzEOD8Z8pa5w,78
Y2rYM2crYfTC25y6iquPgw,81
ORL4JE6tz3rJxVqkdKfegA,1670
LnQRfj3pPz0369stRnwUWw,272
etzkwuhZGHUXJhdPC_y4pA,81
W0vdz23JQtVQX5vJkiCj3g,125
M0r9lUn2gLFYgIwIfG8-bQ,1614
FnEkr6LzjuGsg93Z7fkl7Q,131
8uF-bhJFgT4Tn6DTb27viA,2110
dygflr6j51vf3-lM5pUIkw,10
QcuTCSfnI6WqKpuDL_a0OA,53
rrD5LY3nkyKMg1CYKKZomQ,5
ugNplY4SZqIfP417oUxahQ,268
eL4lyE7LNoXEMvpcJ8WNVw,480
V6Om7YZhlRQRU7WfuxHq8Q,502
