business_id,actual_review_count,name,city,state,categories
_ab50qdWOk0DdB6XOrBitw,7673,Acme Oyster House,New Orleans,LA,"Live/Raw Food, Seafood, Restaurants, Cajun/Creole"
ac1AeYqs8Z4_e2X5M3if2A,7516,Oceana Grill,New Orleans,LA,"Restaurants, Seafood, Cajun/Creole, Breakfast & Brunch"
GXFMD0Z4jEVZBCsbPf4CTQ,6160,Hattie B’s Hot Chicken - Nashville,Nashville,TN,"American (Traditional), Chicken Shop, Southern, Restaurants, Chicken Wings, American (New), Soul Food"
ytynqOUb3hjKeJfRj5Tshw,5778,Reading Terminal Market,Philadelphia,PA,"Candy Stores, Shopping, Department Stores, Fast Food, Beer, Wine & Spirits, Fruits & Veggies, Chinese, Food, Ice Cream & Frozen Yogurt, Desserts, Seafood, Health Markets, Bagels, Cheese Shops, Shopping Centers, Chocolatiers & Shops, Meat Shops, Public Markets, Food Court, Wineries, Local Flavor, Ethnic Food, Restaurants, Specialty Food, Arts & Entertainment, Juice Bars & Smoothies, Seafood Markets, Farmers Market, Coffee & Tea, Bakeries, Food Stands, Dinner Theater, Sporting Goods, Grocery, Fashion"
oBNrLz4EDhiscSlbOl8uAw,5264,Ruby Slipper - New Orleans,New Orleans,LA,"Restaurants, American (Traditional), American (New), Cafes, Breakfast & Brunch"
iSRTaT9WngzB8JJ2YKJUig,5254,Mother's Restaurant,New Orleans,LA,"Cajun/Creole, Restaurants, Event Planning & Services, Southern, Specialty Food, Soul Food, Food, Ethnic Food, American (New), Caterers, Breakfast & Brunch, Sandwiches"
VQcCL9PiNL_wkGf-uF3fjg,5146,Royal House,New Orleans,LA,"American (New), Restaurants, Sandwiches, Seafood, Cajun/Creole"
_C7QiQQc47AOEv4PE3Kong,4969,Commander's Palace,New Orleans,LA,"French, Restaurants, Cocktail Bars, Nightlife, American (New), Cajun/Creole, Breakfast & Brunch, American (Traditional), Bars"
GBTPC53ZrG1ZBY3DT8Mbcw,4661,Luke,New Orleans,LA,"German, Restaurants, Seafood, Cocktail Bars, French, Brasseries, American (New), Nightlife, Bars, Cajun/Creole, Breakfast & Brunch"
6a4gLLFSgr-Q6CZXDLzBGQ,4480,Cochon,New Orleans,LA,"Cajun/Creole, Seafood, Restaurants"
PP3BBaVxZLcJU54uP_wL6Q,4293,Pat's King of Steaks,Philadelphia,PA,"Italian, American (Traditional), Sandwiches, Fast Food, Restaurants, Local Flavor, Cheesesteaks"
1b5mnK8bMnnju_cvU65GqQ,4247,Biscuit Love: Gulch,Nashville,TN,"Burgers, American (Traditional), Breakfast & Brunch, Restaurants, Southern"
I_3LMZ_1m2mzR0oLIOePIg,4093,Pappy's Smokehouse,Saint Louis,MO,"Food, Restaurants, Caterers, Smokehouse, Barbeque, Food Trucks, Event Planning & Services"
VaO-VW3e1kARkU9bP1E7Fw,4034,Felix's Restaurant & Oyster Bar,New Orleans,LA,"Restaurants, Sandwiches, Seafood, Cajun/Creole"
qb28j-FNX1_6xm7u372TZA,3971,Gumbo Shop,New Orleans,LA,"Cajun/Creole, Seafood, Restaurants"
gTC8IQ_i8zXytWSly3Ttvg,3917,Cochon Butcher,New Orleans,LA,"Shopping, Butcher, Restaurants, Sandwiches, Food, Meat Shops, Specialty Food"
yPSejq3_erxo9zdVYTBnZA,3889,Los Agaves,Santa Barbara,CA,"Mexican, Restaurants"
wz8ZPfySQczcPgSyd33-HQ,3634,Grand Sierra Resort and Casino,Reno,NV,"Nightlife, Hotels & Travel, Arts & Entertainment, Music Venues, Hotels, Casinos, Event Planning & Services, Resorts"
VVH6k9-ycttH3TV_lk5WfQ,3633,Willie Mae's Scotch House,New Orleans,LA,"Comfort Food, Restaurants, Southern"
IkY2ticzHEn4QFn8hQLSWg,3428,Geno's Steaks,Philadelphia,PA,"Sandwiches, Cheesesteaks, Steakhouses, Restaurants"
QHWYlmVbLC3K6eglWoHVvA,3388,Datz,Tampa,FL,"Burgers, Bars, Restaurants, American (Traditional), Vegan, Asian Fusion, Cocktail Bars, Breakfast & Brunch, Soul Food, Sandwiches, American (New), Gastropubs, Comfort Food, Nightlife, Wine Bars, Delis"
9PZxjhTIU7OgPIzuGi89Ew,3264,El Vez,Philadelphia,PA,"Lounges, Bars, Nightlife, Breakfast & Brunch, Mexican, Restaurants"
DcBLYSvOuWcNReolRVr12A,3217,Drago's Seafood Restaurant,New Orleans,LA,"Restaurants, Seafood"
XnQ84ylyAZwh-XfHGGNBbQ,3210,Coop's Place,New Orleans,LA,"Cajun/Creole, Nightlife, Bars, Restaurants"
L5LLN0RafiV1Z9cddzvuCw,3179,Ulele,Tampa,FL,"Breweries, Food, American (New), Beer, Wine & Spirits, Restaurants, Seafood"
